 Total battles: 2
 Avg. weight/team: 0.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Snover             |  0.00000% | 2      | 50.000% | 1      | 46.154% | 
 | 2    | Gastly             |  0.00000% | 2      | 50.000% | 2      | 92.308% | 
 | 3    | Bronzor            |  0.00000% | 1      | 25.000% | 1      | 46.154% | 
 | 4    | Machop             |  0.00000% | 1      | 25.000% | 1      | 46.154% | 
 | 5    | Elekid             |  0.00000% | 1      | 25.000% | 1      | 46.154% | 
 | 6    | Gligar             |  0.00000% | 1      | 25.000% | 1      | 46.154% | 
 | 7    | Porygon            |  0.00000% | 1      | 25.000% | 1      | 46.154% | 
 | 8    | Igglybuff          |  0.00000% | 1      | 25.000% | 1      | 46.154% | 
 | 9    | Mankey             |  0.00000% | 1      | 25.000% | 1      | 46.154% | 
 | 10   | Munchlax           |  0.00000% | 2      | 50.000% | 2      | 92.308% | 
 | 11   | Sunkern            |  0.00000% | 1      | 25.000% | 1      | 46.154% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
