 Total battles: 2
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Ampharos           | 75.00000% | 3      | 75.000% | 2      | 70.588% | 
 | 2    | Charizard          | 50.00000% | 2      | 50.000% | 1      | 35.294% | 
 | 3    | Exeggutor          | 50.00000% | 2      | 50.000% | 1      | 35.294% | 
 | 4    | Altaria            | 25.00000% | 1      | 25.000% | 1      | 35.294% | 
 | 5    | Glaceon            | 25.00000% | 1      | 25.000% | 0      |  0.000% | 
 | 6    | Electabuzz         | 25.00000% | 1      | 25.000% | 1      | 35.294% | 
 | 7    | Lapras             | 25.00000% | 1      | 25.000% | 1      | 35.294% | 
 | 8    | Ariados            | 25.00000% | 1      | 25.000% | 0      |  0.000% | 
 | 9    | Shedinja           | 25.00000% | 1      | 25.000% | 1      | 35.294% | 
 | 10   | Pikachu            | 25.00000% | 1      | 25.000% | 0      |  0.000% | 
 | 11   | Slowpoke           | 25.00000% | 1      | 25.000% | 1      | 35.294% | 
 | 12   | Articuno           | 25.00000% | 1      | 25.000% | 1      | 35.294% | 
 | 13   | Shuckle            | 25.00000% | 1      | 25.000% | 1      | 35.294% | 
 | 14   | Misdreavus         | 25.00000% | 1      | 25.000% | 1      | 35.294% | 
 | 15   | Gigalith           | 25.00000% | 1      | 25.000% | 1      | 35.294% | 
 | 16   | Alomomola          | 25.00000% | 1      | 25.000% | 0      |  0.000% | 
 | 17   | Eevee              | 25.00000% | 1      | 25.000% | 1      | 35.294% | 
 | 18   | Dragonair          | 25.00000% | 1      | 25.000% | 1      | 35.294% | 
 | 19   | Mantine            | 25.00000% | 1      | 25.000% | 1      | 35.294% | 
 | 20   | Grovyle            | 25.00000% | 1      | 25.000% | 1      | 35.294% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
